t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
2.9400,5.0000,1.1800,3.1416,3.0931,0.4545,0.0000,0.0000,1.8300
2.9600,5.0000,1.1200,3.1416,3.0798,0.4542,0.0000,0.0000,1.8300
2.9800,5.0000,1.0600,3.1416,3.0666,0.4537,0.0000,0.0000,1.8300
3.0000,5.0000,1.0000,3.1416,3.0533,0.4533,0.0000,0.0000,1.8300
3.0200,5.0000,0.9400,3.1416,3.0402,0.4527,0.0000,0.0000,1.8300
3.0400,5.0000,0.8800,3.1416,3.0270,0.4521,0.0000,0.0000,1.8300
3.0600,5.0000,0.8200,3.1416,3.0139,0.4514,0.0000,0.0000,1.8300
3.0800,5.0000,0.7600,3.1416,3.0008,0.4507,0.0000,0.0000,1.8300
3.1000,5.0000,0.7000,3.1416,2.9878,0.4499,0.0000,0.0000,1.8300
3.1200,5.0000,0.6400,3.1416,2.9749,0.4490,0.0000,0.0000,1.8300
3.1400,5.0000,0.5800,3.1416,2.9620,0.4481,0.0000,0.0000,1.8300
3.1600,5.0000,0.5200,3.1416,2.9491,0.4472,0.0000,0.0000,1.8300
3.1800,5.0000,0.4600,3.1416,2.9364,0.4462,0.0000,0.0000,1.8300
3.2000,5.0000,0.4000,3.1416,2.9237,0.4451,0.0000,0.0000,1.8300
3.2200,5.0000,0.3400,3.1416,2.9111,0.4440,0.0000,0.0000,1.8300
3.2400,5.0000,0.2800,3.1416,2.8985,0.4429,0.0000,0.0000,1.8300
3.2600,5.0000,0.2200,3.1416,2.8861,0.4417,0.0000,0.0000,1.8300
3.2800,5.0000,0.1600,3.1416,2.8737,0.4404,0.0000,0.0000,1.8300
3.3000,5.0000,0.1000,3.1416,2.8614,0.4391,0.0000,0.0000,1.8300
3.3200,5.0000,0.0400,3.1416,2.8492,0.4378,0.0000,0.0000,1.8300
3.3400,5.0000,-0.0200,3.1416,2.8371,0.4364,0.0000,0.0000,1.8300
3.3600,5.0000,-0.0800,3.1416,2.8251,0.4350,0.0000,0.0000,1.8300
3.3800,5.0000,-0.1400,3.1416,2.8132,0.4336,0.0000,0.0000,1.8300
3.4000,5.0000,-0.2000,3.1416,2.8014,0.4321,0.0000,0.0000,1.8300
3.4200,5.0000,-0.2600,3.1416,2.7897,0.4306,0.0000,0.0000,1.8300
3.4400,5.0000,-0.3200,3.1416,2.7781,0.4290,0.0000,0.0000,1.8300
3.4600,5.0000,-0.3800,3.1416,2.7666,0.4275,0.0000,0.0000,1.8300
3.4800,5.0000,-0.4400,3.1416,2.7552,0.4258,0.0000,0.0000,1.8300
3.5000,5.0000,-0.5000,3.1416,2.7439,0.4242,0.0000,0.0000,1.8300
3.5200,5.0000,-0.5600,3.1416,2.7328,0.4225,0.0000,0.0000,1.8300
3.5400,5.0000,-0.6200,3.1416,2.7217,0.4209,0.0000,0.0000,1.8300
3.5600,5.0000,-0.6800,3.1416,2.7108,0.4191,0.0000,0.0000,1.8300
3.5800,5.0000,-0.7400,3.1416,2.7000,0.4174,0.0000,0.0000,1.8300
3.6000,5.0000,-0.8000,3.1416,2.6893,0.4157,0.0000,0.0000,1.8300
3.6200,5.0000,-0.8600,3.1416,2.6787,0.4139,0.0000,0.0000,1.8300
3.6400,5.0000,-0.9200,3.1416,2.6682,0.4121,0.0000,0.0000,1.8300
3.6600,5.0000,-0.9800,3.1416,2.6579,0.4103,0.0000,0.0000,1.8300
3.6800,5.0000,-1.0400,3.1416,2.6477,0.4085,0.0000,0.0000,1.8300
3.7000,5.0000,-1.1000,3.1416,2.6376,0.4066,0.0000,0.0000,1.8300
3.7200,5.0000,-1.1600,3.1416,2.6276,0.4048,0.0000,0.0000,1.8300
3.7400,5.0000,-1.2200,3.1416,2.6177,0.4029,0.0000,0.0000,1.8300
3.7600,5.0000,-1.2800,3.1416,2.6080,0.4010,0.0000,0.0000,1.8300
3.7800,5.0000,-1.3400,3.1416,2.5983,0.3991,0.0000,0.0000,1.8300
3.8000,5.0000,-1.4000,3.1416,2.5888,0.3972,0.0000,0.0000,1.8300
3.8200,5.0000,-1.4600,3.1416,2.5794,0.3954,0.0000,0.0000,1.8300
3.8400,5.0000,-1.5200,3.1416,2.5702,0.3934,0.0000,0.0000,1.8300
3.8600,5.0000,-1.5800,3.1416,2.5610,0.3915,0.0000,0.0000,1.8300
3.8800,5.0000,-1.6400,3.1416,2.5520,0.3896,0.0000,0.0000,1.8300
3.9000,5.0000,-1.7000,3.1416,2.5430,0.3877,0.0000,0.0000,1.8300
3.9200,5.0000,-1.7600,3.1416,2.5342,0.3857,0.0000,0.0000,1.8300
3.9400,5.0000,-1.8200,3.1416,2.5255,0.3838,0.0000,0.0000,1.8300
3.9600,5.0000,-1.8800,3.1416,2.5170,0.3818,0.0000,0.0000,1.8300
3.9800,5.0000,-1.9400,3.1416,2.5085,0.3799,0.0000,0.0000,1.8300
