distance_m,pitch_rad,pitch_deg,velocity_mps,rpm,rps,tof_s,apex_m
6.5500,0.43461914,24.9018,12.766885,3999.83,66.6638,0.615806,1.8337
6.6000,0.43549194,24.9519,12.766678,3999.76,66.6627,0.621178,1.8385
6.6500,0.43636475,25.0019,12.766933,3999.84,66.6641,0.626538,1.8434
6.7000,0.43727112,25.0538,12.766909,3999.84,66.6639,0.631931,1.8484
6.7500,0.43821106,25.1076,12.767286,3999.95,66.6659,0.637330,1.8536
6.8000,0.43918457,25.1634,12.767372,3999.98,66.6663,0.642765,1.8590
6.8500,0.44019165,25.2211,12.767177,3999.92,66.6653,0.648235,1.8645
6.9000,0.44123230,25.2807,12.767299,3999.96,66.6660,0.653716,1.8703
6.9500,0.44230652,25.3423,12.767201,3999.93,66.6655,0.659230,1.8763
7.0000,0.44341431,25.4058,12.766836,3999.81,66.6636,0.664782,1.8824
7.0500,0.44452209,25.4692,12.767311,3999.96,66.6660,0.670305,1.8887
7.1000,0.44569702,25.5366,12.767031,3999.87,66.6646,0.675904,1.8952
7.1500,0.44687195,25.6039,12.767152,3999.91,66.6652,0.681494,1.9018
7.2000,0.44808044,25.6731,12.767238,3999.94,66.6656,0.687113,1.9086
7.2500,0.44932251,25.7443,12.767420,4000.00,66.6666,0.692754,1.9156
7.3000,0.45059814,25.8174,12.767347,3999.97,66.6662,0.698435,1.9228
7.3500,0.45190735,25.8924,12.767043,3999.88,66.6646,0.704154,1.9301
7.4000,0.45325012,25.9693,12.766982,3999.86,66.6643,0.709890,1.9377
7.4500,0.45459290,26.0463,12.767359,3999.98,66.6663,0.715618,1.9453
7.5000,0.45600281,26.1270,12.766885,3999.83,66.6638,0.721432,1.9532
7.5500,0.45741272,26.2078,12.766994,3999.86,66.6644,0.727231,1.9612
7.6000,0.45885620,26.2905,12.767165,3999.92,66.6653,0.733058,1.9695
7.6500,0.46033325,26.3752,12.767140,3999.91,66.6651,0.738925,1.9779
7.7000,0.46184387,26.4617,12.766921,3999.84,66.6640,0.744832,1.9865
7.7500,0.46335449,26.5483,12.767347,3999.97,66.6662,0.750722,1.9952
7.8000,0.46493225,26.6387,12.767165,3999.92,66.6653,0.756692,2.0042
7.8500,0.46651001,26.7291,12.767372,3999.98,66.6663,0.762657,2.0133
7.9000,0.46812134,26.8214,12.767408,3999.99,66.6665,0.768664,2.0226
7.9500,0.46979980,26.9175,12.766982,3999.86,66.6643,0.774748,2.0322
8.0000,0.47147827,27.0137,12.767067,3999.89,66.6648,0.780821,2.0419
8.0500,0.47319031,27.1118,12.767006,3999.87,66.6644,0.786937,2.0518
8.1000,0.47490234,27.2099,12.767335,3999.97,66.6662,0.793049,2.0618
8.1500,0.47668152,27.3118,12.767140,3999.91,66.6651,0.799244,2.0721
8.2000,0.47849426,27.4157,12.767006,3999.87,66.6644,0.805474,2.0826
8.2500,0.48030701,27.5196,12.767262,3999.95,66.6658,0.811700,2.0932
8.3000,0.48215332,27.6254,12.767408,3999.99,66.6665,0.817970,2.1041
8.3500,0.48406677,27.7350,12.766958,3999.85,66.6642,0.824331,2.1152
8.4000,0.48598022,27.8446,12.767128,3999.90,66.6651,0.830678,2.1265
8.4500,0.48792725,27.9562,12.767250,3999.94,66.6657,0.837068,2.1380
