pitch_offset_deg,velocity_offset_pct,pitch_deg,velocity_mps,impact_x_m,impact_y_m,impact_z_m,horiz_miss_m,vert_miss_m,opt_pitch_deg,opt_velocity_mps,distance_m
-2.5,10,23.64627013528363,13.083146988032798,-4.0657581468206416e-16,-6.123233995736767e-16,1.7571284192588963,7.350128153643641e-16,-0.07167158074110369,26.14627013528363,11.893769989120724,5.0
-2.0,-10,24.14627013528363,10.704392990208651,-1.2576745200831851e-16,-6.123233995736766e-16,1.339167189349107,6.251059091467055e-16,-0.4896328106508929,26.14627013528363,11.893769989120724,5.0
-2.0,-8,24.14627013528363,10.942268389991066,1.5959455978986625e-16,-6.123233995736766e-16,1.3993239870837761,6.32779874190058e-16,-0.42947601291622384,26.14627013528363,11.893769989120724,5.0
-2.0,-6,24.14627013528363,11.18014378977348,-2.6020852139652106e-16,-6.123233995736758e-16,1.4556777061763624,6.653182849379891e-16,-0.3731222938236376,26.14627013528363,11.893769989120724,5.0
-2.0,-4,24.14627013528363,11.418019189555894,2.7755575615628914e-17,-6.123233995736767e-16,1.5085650841396656,6.129521332397983e-16,-0.32023491586033437,26.14627013528363,11.893769989120724,5.0
-2.0,-2,24.14627013528363,11.65589458933831,1.0408340855860843e-17,-6.123233995736766e-16,1.5582556596764623,6.124118542491126e-16,-0.2705443403235377,26.14627013528363,11.893769989120724,5.0
-2.0,0,24.14627013528363,11.893769989120724,1.3357370765021415e-16,-6.123233995736773e-16,1.604997549661269,6.267231294925137e-16,-0.22380245033873103,26.14627013528363,11.893769989120724,5.0
-2.0,2,24.14627013528363,12.131645388903138,-4.5102810375396984e-17,-6.123233995736766e-16,1.6490195444909803,6.139822547673699e-16,-0.17978045550901967,26.14627013528363,11.893769989120724,5.0
-2.0,4,24.14627013528363,12.369520788685554,-1.5265566588595902e-16,-6.123233995736769e-16,1.690532959757591,6.310655259103847e-16,-0.13826704024240888,26.14627013528363,11.893769989120724,5.0
-2.0,6,24.14627013528363,12.607396188467968,-1.3183898417423734e-16,-6.123233995736767e-16,1.7297332766570976,6.263557003920052e-16,-0.09906672334290234,26.14627013528363,11.893769989120724,5.0
-2.0,8,24.14627013528363,12.845271588250382,2.216109240560371e-16,-6.123233995736768e-16,1.766790579210729,6.511922506652205e-16,-0.062009420789270964,26.14627013528363,11.893769989120724,5.0
-2.0,10,24.14627013528363,13.083146988032798,-1.6306400674181987e-16,-6.123233995736764e-16,1.8018089164934832,6.336638035742301e-16,-0.0269910835065168,26.14627013528363,11.893769989120724,5.0
-1.5,-10,24.64627013528363,10.704392990208651,-2.671474153004283e-16,-6.123233995736767e-16,1.380277563121437,6.680626371584959e-16,-0.44852243687856297,26.14627013528363,11.893769989120724,5.0
-1.5,-8,24.64627013528363,10.942268389991066,-3.209238430557093e-16,-6.12323399573677e-16,1.4409268876778536,6.913263040758036e-16,-0.3878731123221464,26.14627013528363,11.893769989120724,5.0
-1.5,-6,24.64627013528363,11.18014378977348,-4.0939474033052647e-16,-6.123233995736763e-16,1.4977689726770622,7.365758610460725e-16,-0.33103102732293777,26.14627013528363,11.893769989120724,5.0
