distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
3.75000000,-1.00000000,0.06962280,-285.31646729,-0.91068969,0.50338587
3.75000000,-0.50000000,0.03316650,-144.90509033,-0.46251649,0.50289617
3.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50241834
3.75000000,0.50000000,-0.03024597,149.03259277,0.47569089,0.50194179
3.75000000,1.00000000,-0.05790710,301.94854736,0.96377693,0.50144714
3.75000000,1.50000000,-0.08325195,458.38928223,1.46311356,0.50095180
3.75000000,2.00000000,-0.10654907,618.24417114,1.97334769,0.50043236
3.75000000,2.50000000,-0.12796631,780.93338013,2.49262856,0.49995527
3.75000000,3.00000000,-0.14777222,946.86508179,3.02225902,0.49942209
4.00000000,-3.00000000,0.23283691,-822.17788696,-2.62427518,0.50478678
4.00000000,-2.50000000,0.18409424,-698.78387451,-2.23041900,0.50433610
4.00000000,-2.00000000,0.13988342,-569.08798218,-1.81644811,0.50384715
4.00000000,-1.50000000,0.09980164,-433.88748169,-1.38490729,0.50337856
4.00000000,-1.00000000,0.06337891,-293.64776611,-0.93728201,0.50289707
4.00000000,-0.50000000,0.03024597,-148.95629883,-0.47544737,0.50243423
4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50193854
4.00000000,0.50000000,-0.02766113,152.83203125,0.48781816,0.50142809
4.00000000,1.00000000,-0.05297241,308.96377563,0.98616854,0.50096110
4.00000000,1.50000000,-0.07626953,468.70040894,1.49602521,0.50043166
4.00000000,2.00000000,-0.09768677,631.26373291,2.01490428,0.49994647
4.00000000,2.50000000,-0.11745911,796.76437378,2.54315885,0.49945293
4.00000000,3.00000000,-0.12904053,902.18353271,2.87964185,0.50836253
4.25000000,-3.00000000,0.21155396,-850.75378418,-2.71548539,0.50433842
4.25000000,-2.50000000,0.16741028,-721.22573853,-2.30205024,0.50386517
4.25000000,-2.00000000,0.12736206,-586.13204956,-1.87085035,0.50338689
4.25000000,-1.50000000,0.09097290,-446.03347778,-1.42367559,0.50290399
4.25000000,-1.00000000,0.05783997,-301.35726929,-0.96188965,0.50240779
4.25000000,-0.50000000,0.02762756,-152.59170532,-0.48705108,0.50192186
4.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50142811
4.25000000,0.50000000,-0.02531128,156.06689453,0.49814339,0.50094116
4.25000000,1.00000000,-0.04857483,315.48690796,1.00698945,0.50043796
4.25000000,1.50000000,-0.06999207,477.94723511,1.52553977,0.49993953
4.25000000,2.00000000,-0.08976440,643.34106445,2.05345341,0.49943436
4.25000000,2.50000000,-0.10148010,749.90844727,2.39360138,0.50814460
4.25000000,3.00000000,-0.10057373,749.96185303,2.39377184,0.53321003
