robot_x,robot_y,distance_m,valid,pitch_deg,velocity_mps,rpm,tof_s,impact_x_m,impact_y_m,impact_z_m,yaw_deg
9.0,-5.0,10.2956,True,33.6782,12.7673,4000.0,1.1133,0.0,0.0,1.7788,150.9454
9.0,-4.0,9.8489,True,31.9356,12.7674,4000.0,1.0368,0.0,0.0,1.7788,156.0375
9.0,-3.0,9.4868,True,30.7258,12.7671,3999.9,0.9804,0.0,0.0,1.7788,161.5651
9.0,-2.0,9.2195,True,29.9219,12.7671,3999.9,0.9412,0.0,0.0,1.7788,167.4712
9.0,-1.0,9.0554,True,29.4603,12.7674,4000.0,0.918,0.0,0.0,1.7788,173.6598
9.0,0.0,9.0,True,29.3102,12.7674,4000.0,0.9103,0.0,0.0,1.7788,-180.0
9.0,1.0,9.0554,True,29.4603,12.7674,4000.0,0.918,0.0,0.0,1.7788,-173.6598
9.0,2.0,9.2195,True,29.9219,12.7671,3999.9,0.9412,0.0,0.0,1.7788,-167.4712
9.0,3.0,9.4868,True,30.7258,12.7671,3999.9,0.9804,0.0,0.0,1.7788,-161.5651
9.0,4.0,9.8489,True,31.9356,12.7674,4000.0,1.0368,0.0,0.0,1.7788,-156.0375
9.0,5.0,10.2956,True,33.6782,12.7673,4000.0,1.1133,0.0,0.0,1.7788,-150.9454
